model,term,estimate,std.error,statistic,p.value
1,Lianas,-0.17642,0.02177,-8.104,5.31E-16
2,Palms,0.06058,0.0203,2.985,2.84E-03
3,Shrubs,-0.22619,0.01975,-11.454,2.00E-16
4,Herbs,0.02636,0.01926,1.368,0.171
5,Bamboos,-0.02367,0.02044,-1.158,0.247
1,Lianas,0.322,0.01918,16.793,2.00E-16
2,Palms,0.08473,0.01679,5.046,4.51E-07
3,Shrubs,0.16005,0.01636,9.785,2.00E-16
4,Herbs,0.22463,0.01525,14.734,2.00E-16
5,Bamboos,0.20313,0.01761,11.535,2.00E-16
