Specie;ID
Miconia sp. 4;sp219
Mikania sp.;sp220
Mollinedia cf.;sp221
Mollinedia cf. uleana;sp222
Mollinedia schottiana;sp223
Mollinedia sp.;sp224
Myrceugenia myrcioides;sp225
Myrceugenia sp.;sp226
Myrcia pubipetala;sp227
Myrcia sp.;sp228
Myrcia splendens;sp229
Myrcia strigipes;sp230
Myrcia tenuivenosa;sp231
Myrocarpus frondosus;sp232
Myrsine cf.;sp233
Myrsine cf. umbellata;sp234
Myrsine sp.;sp235
Myrsine sp. ;sp236
Myrtaceae;sp237
Myrtaceae cf.;sp238
Myrtaceae sp.;sp239
Nematanthus cf. jolyanus;sp240
Neomarica candida;sp241
Neomarica sp.;sp242
Nidularium sp.;sp243
Nidularium sp. 1;sp244
Ocotea aciphylla;sp245
Ocotea catharinensis;sp246
Ocotea cf.;sp247
Ocotea cf. dispersa;sp248
Ocotea dispersa;sp249
Ocotea odorifera;sp250
Ocotea sp.;sp251
Ocotea sp. 1;sp252
Ocotea sp. 2;sp253
Ocotea sp. 3;sp254
Ocotea teleiandra;sp255
Orchidaceae sp.;sp256
Ossaea sanguinea;sp257
Ossaea sp.;sp258
Ottonia sp.;sp259
Ouratea parviflora;sp260
Ouratea sp.;sp261
Parapiptadenia sp.;sp262
Parinari excelsa;sp263
Parodiolyra sp.;sp264
Passiflora sp.;sp265
Paullinia sp.;sp266
Paullinia/Serjania sp.;sp267
Paullinia/Serjania sp. 1;sp268
Paullinia/Serjania sp. 2;sp269
Paullinia/Serjania sp. 3;sp270
Pausandra morisiana;sp271
Peltastes peltatus;sp272
Philodendron sp.;sp273
Philodendron sp. 1;sp274
Phyllanthus cf.;sp275
Pilocarpus sp.;sp276
Piper cf. aduncum;sp277
Piper cf. caldense;sp278
Piper pseudopothifolium;sp279
Piper setebarraensis;sp280
Piper sp.;sp281
Piper sp.1;sp282
Piptadenia sp.;sp283
Piptocarpha sp.;sp284
Pisonia ambigua;sp285
Pleurostachys cf. urvilei;sp286
Pleurostachys gaudichaudii;sp287
Pleurostachys sp.;sp288
Pleurostachys sp. 1;sp289
Pleurostachys sp. 2;sp290
Plinia cf. pseudodichasiantha;sp291
Plinia pauciflora;sp292
Plinia sp.;sp293
Poaceae sp.;sp294
Poaceae sp. 1;sp295
Poaceae sp. 2;sp296
Poaceae sp. 3;sp297
Polybotrya cylindrica;sp298
Polypodiaceae sp.;sp299
Polypodiaceae sp. 1;sp300
Polypodiaceae sp. 2;sp301
Polypodiaceae sp. 3;sp302
Posoqueria acutifolia;sp303
Pourouma guianensis;sp304
Pouteria sp.;sp305
Primulaceae sp.;sp306
Protium sp.;sp307
Prunus myrtifolia;sp308
Psychotria brachypoda;sp309
Psychotria cf.;sp310
Psychotria leiocarpa;sp311
Psychotria mapourioides;sp312
Psychotria nemorosa;sp313
Psychotria nuda;sp314
Psychotria sp .2;sp315
Psychotria sp.;sp316
Psychotria sp. 1;sp317
Psychotria sp. 3;sp318
Psychotria sp. 4;sp319
Psychotria suterella;sp320
Pteridophyta sp.;sp321
Pteridophyta sp. 1;sp322
Pteridophyta sp. 2;sp323
Pteris cf. deflexa;sp324
Pterocarpus rohrii;sp325
Pterocarpus sp.;sp326
Pterocarpus violaceus;sp327
Quiina sp.;sp328
Renealmia petasites;sp329
Rhynchospora sp.;sp330
Rubiaceae;sp331
Rubiaceae cf.;sp332
Rubiaceae sp.;sp333
Rubiaceae sp. 1;sp334
Rubiaceae sp. 2;sp335
Rubiaceae sp. 3;sp336
Rudgea cf.;sp337
Rudgea jasminoides;sp338
Rudgea sp.;sp339
Sapindaceae sp.;sp340
Sapindaceae sp. 1;sp341
Sapindaceae sp. 2;sp342
Schnella microstachya;sp343
Schnella sp.;sp344
Schnella sp. 1;sp345
Schnella sp. 2;sp346
Selaginella sp.;sp347
Senegalia cf.;sp348
Serjania communis;sp349
Serjania sp.;sp350
Siparuna cf. brasiliensis;sp351
Sloanea cf.;sp352
Sloanea cf. guianensis;sp353
Sloanea guianensis;sp354
Sloanea hirsuta;sp355
Sloanea sp.;sp356
Smilax sp.;sp357
Smilax spicata;sp358
Solanaceae cf.;sp359
Solanaceae sp.;sp360
Solanum cf. swartzianum;sp361
Solanum sp.;sp362
Sorocea bonplandii;sp363
Stromanthe sp.;sp364
Strychnos sp.;sp365
Strychnos trinervis;sp366
Syagrus romanzoffiana;sp367
Symplocos sp.;sp368
Tapirira guianensis;sp369
Tetrastylidium cf. grandifolium;sp370
Trichilia sp.;sp371
Vernonia sp.;sp372
Virola bicuhyba;sp373
Virola bicuhyba ;sp374
Virola gardneri ;sp375
Virola sp.;sp376
Vochysia bifalcata;sp377
Xylosma cf. prockia;sp378
Xylosma glaberrima;sp379
Zollernia cf.;sp380
Zollernia ilicifolia;sp381
