Id-plot,local,tratamento,total_plantulas,dossel,longitude,latitude,Elevation,Inclination,Bearing,N_Trees,N_Eedulis,pH_H2O,pH_CaCl2,SB,CTC,V,m,P,K,Ca,Mg,Al,H_Al,MO ,AT,Silte,Argila,Textura
CBO_p01o,CBO,open,88,67.39,-47.993563,-24.067067,728.286133,22,57,20,0,47,39,8,138,58,8298,54,0,5,3,39,13,947,204,332,464,arg
CBO_p01c,CBO,closed,44,72.22,-47.993587,-24.067012,730.712769,31,59,26,0,46,38,14,145,97,7308,43,0,6,8,38,131,835,124,414,462,arg
CBO_p02o,CBO,open,36,66.94,-47.992218,-24.067741,739.851257,45,36,20,3,45,37,15,143,105,7414,57,10,8,7,43,128,70,304,327,369,arg
CBO_p02c,CBO,closed,32,65.92,-47.992151,-24.067649,743.490845,42,27,21,4,41,35,2,187,107,697,105,15,13,7,46,167,1059,277,330,393,arg
CBO_p04o,CBO,open,21,64.56,-47.990493,-24.066214,826.624512,25,130,36,0,37,31,7,152,46,8704,44,9,3,4,47,145,896,481,261,258,md-arg
CBO_p04c,CBO,closed,27,67.88,-47.990394,-24.066304,823.626648,34,148,29,0,38,31,14,246,57,8133,39,55,5,8,61,232,1589,244,462,294,md-arg
CBO_p05o,CBO,open,15,77.31,-47.989345,-24.065651,772.302551,16,213,14,0,41,34,14,122,115,6889,73,0,1,4,31,108,70,247,475,278,md-arg
CBO_p05c,CBO,closed,26,72.43,-47.989469,-24.065634,771.00354,18,37,17,0,42,35,11,129,85,78,47,26,7,3,39,118,526,262,483,255,md-arg
CBO_p06o,CBO,open,54,70.09,-47.987841,-24.064103,807.0578,18,151,23,0,37,31,5,171,29,9231,35,0,3,2,6,166,1095,183,471,346,md-arg
CBO_p06c,CBO,closed,38,70.62,-47.987782,-24.064063,805.889343,11,136,20,2,36,3,7,219,32,8939,43,31,3,3,59,212,1168,219,443,338,md-arg
CBO_p09o,CBO,open,26,69.88,-47.98609,-24.071048,727.443481,3,118,20,0,43,37,9,143,63,85,59,7,5,4,51,134,761,274,393,333,md-arg
CBO_p09c,CBO,closed,44,70.62,-47.986205,-24.071008,727.91449,8,779,22,1,45,38,16,121,132,6735,79,0,11,5,33,105,681,300,365,334,md-arg
CBO_p11o,CBO,open,49,64.4,-47.985698,-24.062906,804.268616,16,149,21,1,4,33,5,152,33,8958,29,1,3,2,43,147,998,507,236,257,md-arg
CBO_p11c,CBO,closed,52,61.18,-47.985811,-24.062904,802.03241,15,122,24,3,39,33,6,136,44,8537,73,0,3,3,35,13,924,582,185,232,md-ar
CBO_p12o,CBO,open,78,71.97,-47.986058,-24.064589,746.259644,35,274,21,0,45,4,14,137,102,6818,78,0,9,5,3,123,786,255,323,422,arg
CBO_p12c,CBO,closed,49,73.2,-47.986035,-24.06442,747.127075,25,265,28,3,43,37,1,76,132,7917,43,0,6,4,38,66,427,279,435,285,md-arg
CBO_p14o,CBO,open,40,68.66,-47.983904,-24.062175,745.258972,15,275,9,3,45,38,1,8,125,7619,41,0,7,3,32,7,421,225,447,329,md-arg
CBO_p14c,CBO,closed,63,73.34,-47.984013,-24.06219,748.46936,9,277,20,4,46,38,14,134,104,5758,57,0,9,5,19,12,729,267,307,426,arg
CBO_p15o,CBO,open,34,63.57,-47.982107,-24.061303,747.095642,26,315,23,2,43,36,9,118,76,6538,69,0,6,3,17,109,661,179,474,347,md-arg
CBO_p15c,CBO,closed,44,71.24,-47.982419,-24.061552,745.314453,1,54,22,10,42,34,11,95,116,7556,69,0,8,3,34,84,591,181,470,350,arg
CAR_p01o,CAR,open,23,69.22,-47.927781,-25.094767,28.525818,1,209,25,5,45,39,2,7,286,2857,149,32,13,6,8,5,417,889,36,75,ar
CAR_p01c,CAR,closed,28,69.69,-47.927811,-25.09477,30.15032,1,266,22,2,42,38,18,68,265,3333,122,5,12,6,9,5,411,872,53,76,ar
