SITE,CAMPAIGN,PLOT,GRID,BM_TOTAL_g,BM_WLP_g,BM_TAPIR_g,BM_RATS_g,BM_MARSU_g,BM_small_g,effort_days,total_trampling_day,WLP_trampling_day,TAPIR_trampling_day,Rats_trampling_day,Opossum_trampling_day,SMALL_trampling_day
VG,DEC_2017,10,CLOSE,8260,0,0,4260,0,7860,46,179.5652174,0,0,92.60869565,0,170.8695652
VG,DEC_2017,10,OPEN,0,0,0,0,0,0,46,0,0,0,0,0,0
VG,DEC_2017,11,CLOSE,7500,0,0,3240,0,7440,40,187.5,0,0,81,0,186
VG,DEC_2017,11,OPEN,30420,0,0,3220,1000,10620,47,647.2340426,0,0,68.5106383,21.27659574,225.9574468
VG,DEC_2017,12,CLOSE,5480,0,0,3840,1000,5440,47,116.5957447,0,0,81.70212766,21.27659574,115.7446809
VG,DEC_2017,12,OPEN,20980,0,0,3660,2000,6860,29,723.4482759,0,0,126.2068966,68.96551724,236.5517241
VG,DEC_2017,14,CLOSE,120,0,0,120,0,120,1,120,0,0,120,0,120
VG,DEC_2017,14,OPEN,330780,0,300000,2820,0,2820,25,13231.2,0,12000,112.8,0,112.8
VG,DEC_2017,15,CLOSE,101100,0,0,11100,0,11100,34,2973.529412,0,0,326.4705882,0,326.4705882
VG,DEC_2017,15,OPEN,7500,0,0,6960,0,6960,8,937.5,0,0,870,0,870
