base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
CB,12A,160,open,4/13/2017,Apr-17,6:36,6,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,1,40
CB,12A,160,open,4/13/2017,Apr-17,6:36,6,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
CB,12A,160,open,4/13/2017,Apr-17,16:45,16,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
CB,12A,160,open,4/13/2017,Apr-17,16:45,16,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
CB,12A,160,open,4/13/2017,Apr-17,17:31,17,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
CB,12A,160,open,4/13/2017,Apr-17,17:31,17,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,9,1,1,0,40
CB,12A,160,open,4/13/2017,Apr-17,20:32,20,Marmosops incanus,Opossum,marsupial,onivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,10,1,1,1,60
CB,12A,160,open,4/14/2017,Apr-17,6:34,6,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,11,1,1,1,40
CB,12A,160,open,4/21/2017,Apr-17,17:04,17,Grallaria varia,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,12,1,1,1,40
CB,12A,160,open,4/21/2017,Apr-17,19:40,19,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,13,1,1,1,300
CB,12A,160,open,4/21/2017,Apr-17,19:42,19,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,13,1,1,1,300
CB,12A,160,open,4/21/2017,Apr-17,19:44,19,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,13,1,1,0,300
CB,12A,160,open,4/25/2017,Apr-17,6:46,6,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,14,1,1,1,70
CB,12A,160,open,4/25/2017,Apr-17,6:46,6,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,14,1,1,0,70
CB,12A,160,open,4/27/2017,Apr-17,8:50,8,Pyriglena leucoptera,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,15,1,1,1,30
CB,12A,160,open,4/30/2017,Apr-17,9:09,9,Leptotila sp.,bird,bird,granivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,16,1,1,1,180
CB,12A,160,open,4/5/2017,Apr-17,23:52,23,Euryoryzomys russatus,Rat,Rodent,granivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,17,1,1,1,60
CB,12A,160,open,5/5/2017,Apr-17,1:36,1,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,18,1,1,1,300
CB,12A,160,open,10/5/2017,Apr-17,6:51,6,Chamaeza sp.,bird,bird,insectivore,5/4/2017 10:14,10/5/2017 6:51,34.85902778,836.6166667,19,1,1,1,70
CB,12F,4,close,4/18/2017,Apr-17,12:50,12,Grallaria varia,bird,bird,insectivore,5/4/2017 9:54,12/5/2017 8:42,36.95,886.8,1,1,1,1,40
CB,12F,4,close,4/29/2017,Apr-17,19:02,19,Euryoryzomys russatus,Rat,Rodent,granivore,5/4/2017 9:54,12/5/2017 8:42,36.95,886.8,2,1,1,1,60
CB,12F,4,close,2/5/2017,Apr-17,9:10,9,Grallaria varia,bird,bird,insectivore,5/4/2017 9:54,12/5/2017 8:42,36.95,886.8,3,1,1,1,40
CB,12F,4,Closed,3/5/2017,Apr-17,1:27,1,marsupial,marsupial,marsupial,insectivore,5/4/2017 9:54,12/5/2017 8:42,36.95,886.8,4,1,1,1,60
