PlotID,site,treatment,plot,month,time,Abuta selloana,Alchornea glandulosa,Alchornea triplinervia,Alsophila sternbergii,Amaioua intermedia,Andira anthelmia,Anthurium pentaphyllum,Anthurium scandens,Aphelandra ornata,Ardisia guianensis,Astrocaryum aculeatissimum,Attalea dubia,Bactris setosa,Bathysa australis,Blechnum sampaioanum,Cabralea canjerana,Calophyllum brasiliense,Calyptranthes lanceolata,Campomanesia guaviroba,Campyloneurum acrocarpon,Campyloneurum nitidum,Casearia decandra,Casearia obliqua,Chionanthus filiformis,Chrysophyllum flexuosum,Cinnamodendron dinisii,Connarus rostratus,Copaifera trapezifolia,Cordia sellowiana,Cryptocarya mandioccana,Ctenanthe lanceolata,Cupania oblongifolia,Cupania vernalis,Cyathea corcovadensis ,Dahlstedtia pinnata,Dalbergia frutescens,Daphnopsis schwackeana,Dichorisandra paranaensis,Dichorisandra pubescens,Elaphoglossum glaziovii,Elaphoglossum luridum,Endlicheria paniculata,Eugenia cerasiflora,Eugenia cuprea,Eugenia mosenii,Eugenia multicostata,Eugenia neoaustralis,Eugenia neoglomerata,Eugenia pruinosa,Eugenia riedeliana,Eugenia subavenia,Eugenia sulcata,Eugenia supraaxillaris,Euterpe edulis,Garcinia gardneriana,Geonoma elegans,Geonoma gamiova,Geonoma pauciflora,Geonoma schottiana,Goeppertia monophylla,Goniopteris paranaensis,Guapira opposita,Guarea macrophylla,Guatteria australis,Heisteria silvianii,Heliconia velloziana,Heteropterys nitida,Hirtella hebeclada,Ilex dumosa,Inga edulis,Inga marginata,Inga sellowiana,Inga sessilis,Lacistema pubescens,Lastreopsis amplissima,Leandra dasytricha,Lomariopsis marginata ,Lygodium volubile,Magnolia ovata,Malouetia cestroides,Marlierea obscura,Marlierea strigipes,Matayba guianensis,Matayba obovata,Maytenus robusta,Meliosma sellowii,Metrodorea nigra,Mickelia scandens,Miconia cabussu,Miconia cubatanensis,Mollinedia schottiana,Myrceugenia myrcioides,Myrcia pubipetala,Myrcia tenuivenosa,Myrcia tijucensis,Myrocarpus frondosus,Neomarica candida,Ocotea aciphylla,Ocotea catharinensis,Ocotea odorifera,Ocotea teleiandra,Olfersia cervina ,Ossaea sanguinea,Ouratea parviflora,Parinari excelsa,Pausandra morisiana,Peltastes peltatus,Piper pseudopothifolium,Piper setebarraensis,Pisonia ambigua,Pleurostachys gaudichaudii,Plinia pauciflora,Polybotrya cylindrica,Posoqueria acutifolia,Pourouma guianensis,Prunus myrtifolia,Psychotria brachypoda,Psychotria leiocarpa,Psychotria mapourioides,Psychotria nemorosa,Psychotria nuda,Psychotria suterella,Pteris decurrens,Pteris deflexa,Pterocarpus rohrii,Pterocarpus violaceus,Renealmia petasites,Rudgea jasminoides,Sapindaceae,Schnella microstachya,Serjania communis,Serpocaulon fraxinifolium,Serpocaulon laetum,Serpocaulon polystichum,Sloanea guianensis,Sorocea bonplandii,Strychnos trinervis,Syagrus romanzoffiana,Tapirira guianensis,Trichomanes elegans,Virola bicuhyba,Virola gardneri,Vochysia bifalcata,Xylosma glaberrima,Zollernia ilicifolia
CAR_closed_1_T6_6,CAR,closed,1,T6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAR_closed_1_T60_60,CAR,closed,1,T60,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAR_closed_1_T66_66,CAR,closed,1,T66,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAR_closed_1_T72_72,CAR,closed,1,T72,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAR_closed_1_T78_78,CAR,closed,1,T78,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAR_closed_1_T84_84,CAR,closed,1,T84,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAR_closed_1_T90_90,CAR,closed,1,T90,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAR_closed_1_T96_96,CAR,closed,1,T96,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAR_closed_10_T0_0,CAR,closed,10,T0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,29,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
CAR_closed_10_T108_108,CAR,closed,10,T108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,41,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
