id_plot,wlp,tapir,small,predators,frugivores,xenarthras,tree,herb,liana,bamboo,palm
p11_vgc,0.00,0.00,187.50,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00
p12_vgc,0.00,0.00,115.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
p14_vgc,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
p15_vgc,0.00,0.00,326.47,0.00,0.00,0.00,5.00,0.00,0.00,0.00,2.00
p1_bo,0.00,0.00,81.14,0.00,271.43,0.00,4.00,1.00,1.00,0.00,2.00
p2_bo,0.00,38235.29,1.71,0.00,16459.38,200.00,0.00,0.00,0.00,0.00,0.00
p4_bo,0.00,0.00,35.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
p5_bo,0.00,2777.78,33.33,0.00,333.33,0.00,3.00,0.00,0.00,0.00,0.00
p6_bo,0.00,0.00,5.77,0.00,2704.33,0.00,1.00,7.00,0.00,4.00,0.00
p9_bo,0.00,0.00,75.03,0.00,263.89,0.00,3.00,0.00,0.00,0.00,2.00
p11_bo,0.00,129885.65,112.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00
p12_bo,0.00,0.00,46.29,0.00,2884.62,100.00,1.00,0.00,0.00,0.00,1.00
p14_bo,0.00,16216.22,33.79,0.00,11808.96,378.38,2.00,0.00,0.00,0.00,1.00
p15_bo,0.00,64705.88,59.01,0.00,1797.30,0.00,0.00,0.00,0.00,0.00,8.00
p1_bc,0.00,0.00,13.96,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00
p2_bc,0.00,0.00,1.71,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00
p4_bc,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00
p5_bc,0.00,0.00,1.67,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
p6_bc,0.00,0.00,5.66,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00
p9_bc,0.00,0.00,49.37,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
p11_bc,0.00,0.00,96.55,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
p12_bc,0.00,0.00,45.24,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00
p14_bc,0.00,0.00,33.62,0.00,0.00,0.00,6.00,2.00,0.00,0.00,0.00
p15_bc,0.00,0.00,4.86,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
